FacilityName,FacilityAddress,Violation,Disposition,DispositionDate
GEMELLI'S ITALIAN MARKET,"12169 DARNESTOWN RD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,09/20/2018
MIX BAR & GRILLE,"9812 FALLS RD , POTOMAC, MD 20854",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,12/01/2017
LITTLE BENNETT GOLF COURSE,"25900 PRESCOTT ROAD , CLARKSBURG, MD 20871",SALE TO MINOR,SETTLED; $1000+ALERT,08/30/2018
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,03/10/2017
BECLAWS,"2404 UNIVERSITY BOULEVARD , SILVER SPRING, MD 20902",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,10/18/2018
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,01/24/2017
OUTBACK STEAKHOUSE,"13703 GEORGIA AVEUE , SILVER SPRING, MD 20906",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/24/2017
SUSHI OISHII,"9706 TRAVILLE GATEWAY DRIVE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/18/2017
SUMMIT HILLS MINI MART,"8518 16TH STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,10/23/2017
"BEST BEER, WINE, & DELI","18749 NORTH FREDERICK AVENUE A, GAITHERSBURG, MD 20879",SALE/SERVICE TO INTOXICATED PATRON,"HEARING; $1,000 FINE + ALERT + STATE ALCOHOL CERTIFICATION TRAINING",07/21/2016
HOLLYWOOD EAST CAFE - WESTFIELD,"11160 VEIRS MILL ROAD SPACE, 136, WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/05/2017
RUBY TUESDAY,"701 RUSSELL AVE. , GAITHERSBURG, MD 20877-2612",SALE TO MINOR,"SETTLED; 1,000 + ALERT",07/06/2016
EL NORTENO,"8917 BROOKVILLE ROAD , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/25/2016
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",LICENSEES' RESPONSIBILITY,SETTLED; $500 + ALERT,11/06/2017
& PIZZA,"11626 OLD GEORGETOWN ROAD , NORTH BETHESDA, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,08/12/2016
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/09/2017
TEXAS PARRILLADA,"9631 LOST KNIFE ROAD , GAITHERSBURG, MD 20879",DISORDERLY HOUSE,HEARING; NOT GUILTY,08/04/2016
THAI TASTE,"11315 FERN STREET , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/23/2017
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,11/06/2017
TED'S MONTANA GRILL,"105 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000.00 + ALERT,07/11/2016
SARITA'S CHICKEN RESTAURANT,"2545 ENNALLS AVENUE , WHEATON, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; !00.00 + ALERT,04/28/2017
MAMMA LUCIA,"1302 EAST WEST HGWY. , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,10/25/2017
POLLO-MEX,"13436 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,07/07/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/20/2017
TARA THAI- MONTGOMERY MALL,"7101 DEMOCRACY BLVD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/01/2017
LA FOGATA RESTAURANT,"2259 BEL PRE ROAD , SILVER SPRING, MD 20906",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/24/2017
"CANCUN GRILL RESTAURANT, THE","11220 GEORGIA AVENUE , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $3000.00 + ALERT,04/28/2016
PINSTRIPES,"11920 GRAND PARK AVE. , NORTH BETHESDA, MD 20852",SALE TO MINOR,SETTLED;1000+ ALERT,12/03/2018
KOREAN KORNER,"12207 VEIRS MILL ROAD , WHEATON, MD 20906",SALE TO MINOR,SETTLED; $1000 + ALERT,10/04/2017
ATTMAN'S DELI,"7913 TUCKERMAN LANE , POTOMAC, MD 20854",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/01/2017
TARA THAI RESTAURANT,"9811 WASHINGTONIAN BLVD. , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $2500+ALERT,09/28/2018
TWINBROOK DELICATESSEN,"2208 VEIRS MILL ROAD , ROCKVILLE, MD 20851",SALE TO MINOR,SETTLED; $2500.00,02/03/2017
BHIMAS KITCHEN & BAKERY,"13541 CLOPPER RD. , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED;$1000+ALERT,03/20/2019
7  ELEVEN FOOD STORE 11713A,"14101 GEORGIA AVE. , WHEATON, MD 20906",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,04/19/2018
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",AGE OF EMPLOYEE VIOLATION,SETTLED; $1000+ALERT,08/09/2018
ZIKI JAPANESE STEAK HOUSE,"10009 FIELDS ROAD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,09/26/2018
LA CASITA,"2 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,12/19/2016
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE UNIT A, ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,09/22/2017
OLAZZO RESTAURANT,"8235 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,03/22/2018
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",DISORDERLY HOUSE,SETTLED; $2500.00 + ALERT,07/19/2017
ARADA MARKET,"6844 NEW HAMPSHIRE AVE , TAKOMA PARK, MD 20912",SALE TO MINOR,SETTLED; $1000 + ALERT,02/08/2018
THE QUARRY HOUSE TAVERN,"8401 GEORGIA AVE. , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,12/10/2018
TOKYO FIRE,"9811 MAIN ST SUITE 101, DAMASCUS, MD 20872",SALE TO MINOR,SETTLED; $1000.00,09/06/2018
LEDO PIZZA,"10301 WESTLAKE DRIVE , BETHESDA, MD 20817",SALE TO MINOR,SETTLED; $1000+ALERT,04/11/2018
GRINGOS & MARIACHIS,"4928 CORDELL AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000+ALERT,02/01/2018
SHEGER SPRING CAFE,"900 SILVER SPRING AVENUE SUITE B , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500.00 + ALERT,03/02/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",ACTS CONTRARY TO LAW,HEARING; LICENSE REVOKED,10/05/2016
NORTHWEST PARK GOLF SNACK BAR,"15701 LAYHILL ROAD , SILVER SPRING, MD 20906",SALE TO MINOR,SETTLED; $1000 + ALERT,12/06/2017
MYTHOS MEDITTERANEAN GREEK RESTAURANT,"8371 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED;$1000+ALERT,10/10/2018
GUAPO'S,"411 NORTH FREDERICK AVE , GAITHERSBURG, MD 20878",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED; $800.00 + ALERT,07/11/2016
AY JALISCO,"8401 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED;$1000+ALERT,10/23/2018
BEATESUB MARKET & CARRYOUT,"8201 GEORGIA AVE , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ ALERT,03/12/2018
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000 + ALERT,09/06/2017
MIX BAR & GRILLE,"8241 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,02/09/2018
CITY TASTE ASIAN CUISINE,"930 WAYNE AVE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,08/09/2018
VILLAGE BEER & WINE,"5526 NORBECK ROAD , ROCKVILLE, MD 20853",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,03/26/2018
TEXAS PARRILLADA,"9631 LOST KNIFE ROAD , GAITHERSBURG, MD 20879",PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,HEARING; NOT GUILTY,08/04/2016
THE BARKING DOG,"4723 ELM STREET , BETHESDA, MD 20814",SALE TO MINOR,"HEARING, $9,000 FINE (6 SALES TO MINORS)",06/16/2016
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,10/20/2017
LUCY ETHIOPIAN RESTAURANT,"8301 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500 + ALERT,06/13/2018
CORK & FORK,"7110 BETHESDA LANE , BETHESDA, MD 20814",SALE TO MINOR,$2500+ALERT,11/30/2017
GRINGOS & MARIACHIS,"12435 POTOMAC AVE, D R-6 , POTOMAC, MD 20854",SALE TO MINOR,SETTLED;$1000+ALERT,02/05/2019
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/23/2017
& PIZZA,"11626 OLD GEORGETOWN ROAD , NORTH BETHESDA, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/21/2016
SUYAMASTER,"2302 PRICE AVENUE , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/12/2018
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/07/2017
PETER CHANG'S CHINA BISTRO,"20 MARYLAND AVENUE , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,06/23/2016
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/09/2017
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",SALE TO MINOR,SETTLED; $1000+ALERT,09/13/2018
WOODMOOR SUPERMARKET,"10129 COLESVILLE ROAD , SILVER SPRING, MD 20901",SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/29/2018
OLD TOWN POUR HOUSE,"212 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",DISORDERLY HOUSE,SETTLED; $1000+ALERT,04/26/2018
BRIGHTON BEER & WINE,"225 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",WINDOW TINTING,SETTLED; $500.00 + ALERT,12/27/2016
GOURMET INSPIRATIONS,"2646 UNIVERSITY BLVD , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/30/2017
KOI ASIAN CUISINE,"12046 CHERRY HILL ROAD , SILVER SPRING, MD 20904",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/23/2016
TIA QUETA RESTAURANT,"4839 DEL RAY AVE. , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000+ALERT,03/26/2018
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,06/01/2018
MONTEREY MART & CAFE,"5901 5901 MONTROSE RD. , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,02/06/2019
DUCK DUCK GOOSE,"7929 NORFOLK GOOSE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,11/30/2017
ISLAND PRIDE OASIS,"617 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED;$1000+ALERT,11/20/2018
AMY TEX-MEX BAR AND GRILL,"621 SLIGO AVE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,09/10/2018
CLYDES TOWER OAKS LODGE,"2 PRESERVE PKWY. , ROCKVILLE, MD 20852",PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,SETTLED; $500 + ALERT,12/18/2017
ETCHIONS COUNTRY STORE,"7000 DAMASCUS ROAD , GAITHERSBURG, MD 20882",SALE TO MINOR,SETTLED;$2500+ALERT,11/06/2018
BIG WAN'S CUISINE,"16051 FREDERICK ROAD , ROCKVILLE, MD 20855",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; $500 FINE,08/23/2016
"MILESTONE BEER, WINE & DELI","21030 FREDERICK ROAD D, GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/10/2017
217 BOARDWALK PL.,"217 BOARDWALK PL. , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,12/18/2018
PRIME BEER & WINE,"12842 NEW HAMPSHIRE AVE , SILVER SPRING, MD 20904",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,07/11/2018
EL NORTENO,"8917 BROOKVILLE ROAD , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500.00 + ALERT,05/25/2016
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,SETTLED; $500.00 X 2  = $1000.00 + ALERT,06/20/2017
RED LOBSTER-GAITHERSBURG,"15700 SHADY GROVE ROAD , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $1000.00 + ALERT,07/18/2016
TARA THAI RESTAURANT,"9811 WASHINGTONIAN BLVD. , GAITHERSBURG, MD 20878",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,09/28/2018
CURRY PLACE,"12951 WISTERIA DRIVE , GERMANTOWN, MD 20874",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,01/30/2018
COURTYARD BY MARRIOTT,"204 BOARDWALK PLACE , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED;$2500+ALERT,11/08/2018
BESTWAY MARYLAND SUPERMKT.,"8540 PINEY BRANCH ROAD , SILVER SPRING, MD 20901",SALE TO MINOR,SETTLED; $2500.00 + ALERT,05/04/2016
CHEESE & WINE SHOPPE,"2501 ENNALLS AVE. , WHEATON, MD 20902",SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $1000.00 + ALERT,06/29/2016
& PIZZA,"19823 CENTURY BOULEVARD , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/03/2017
PHOLUSCIOUS,"10048 DARNESTOWN ROAD , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,02/08/2018
MUSSEL BAR BY RW,"7262 WOODMONT AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,10/12/2017
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,11/09/2017
LEBANESE TAVERNA,"7141 ARLINGTON ROAD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,11/30/2017
GREAT SHOALS,"7050 CARROLL AVE. #101 , TAKOMA PARK, MD 20912",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00,09/18/2018
OUTBACK STEAKHOUSE,"12609 WISTERIA DR , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED;$1000.00+ALERT,10/08/2018
LEBANESE TAVERNA CAFE,"115 GIBBS STREET A, ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/27/2017
LA FONDA CHIQUITA CAFE,"6838 NEW HAMPSHIRE AVE. , TAKOMA PARK, MD 20912",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,05/29/2018
GILLY'S CRAFT BEER & FINE WINE,"2009 CHAPMAN AVENUE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/25/2017
PROMENADE MARKET & DELI,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,04/11/2018
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,08/19/2016
PRIME BEER & WINE,"12842 NEW HAMPSHIRE AVE , SILVER SPRING, MD 20904",SALE TO MINOR,SETTLED; $1000+ALERT,09/13/2018
MARK'S KITCHEN,"7006 CARROLL AVENUE , TAKOMA PARK, MD 20912",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/15/2018
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",SALE TO MINOR,"HEARING; $1,000 FINE + ALERT",02/16/2017
HOLA BEER & WINE,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,11/15/2018
SENECA MEADOWS BEER & WINE,"20640 SENECA MEADOWS PKWY , GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000+ALERT,08/29/2018
RINCON PERUANO,"210 EAST DIAMOND ST , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED;$2500.00 + ALERT,02/21/2019
ANTOJITOS RESTAURANT,"12 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $1000+ALERT,09/19/2018
THE THAI CUISINE RESTAURANT,"757 HUNGERFORD DRIVE , ROCKVILLE, MD 20850",RECORDS INVOICE VIOLATION,SETTLED; $500 + ALERT,08/10/2017
SILVER SPRING HILTON HOTEL,"8727 COLESVILLE ROAD , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $8000+ALERT,08/02/2018
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000 + ALERT,09/14/2017
GESTE FOODS & WINE,"4801 EDGEMOOR LANE , BETHESDA, MD 20814",SALE TO MINOR,HEARING; FIVE DAY SUSPENSION,02/02/2017
"GERMANTOWN BEER, WINE & PLUS","19590 FREDERICK ROAD , GERMANTOWN, MD 20874",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; 100 + ALERT,03/28/2016
BOULEVARD TAVERN,"311 KENTLANDS BOULEVARD , GAITHERSBURG, MD 20878",DISORDERLY HOUSE,SETTLED; $2500 + ALERT,09/19/2017
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $2500.00 + ALERT,06/17/2016
MOONLIGHT BAR,"8035 SNOUFFER SCHOOL RD , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED; $1000+ALERT,09/05/2018
SARDI'S POLLO A LA BRASA,"430 NORTH FREDERICK ROAD , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/29/2016
AZUL BAR & GRILL,"18749 N. FREDERICK ROAD , GAITHERSBURG, MD 20879",SALE/SERVICE TO INTOXICATED PATRON,HEARING; 3 WEEK SUSPENSION + ALCOHOL AWARENESS CERTIFICATION CLASS,02/16/2017
GRAND FUSION,"350 E. FORTUNE TERRACE , ROCKVILLE, MD 20854",SALE TO MINOR,SETTLED;$1000+ALERT,02/07/2019
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,10/18/2016
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,11/22/2017
CAFE PROMENADE,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,07/02/2018
MATCHBOX,"1699 ROCKVILLE PIKE , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/17/2018
SAFFRON INDIAN CUISINE,"1321 ROCKVILLE PIKE C, ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/01/2017
MIX BAR & GRILLE,"8241 GEORGIA AVENUE , SILVER SPRING, MD 20910",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/07/2016
SPRINGHILL SUITES GAITHERSBURG,"9715 WASHINGTONIAN BLVD. , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED;$1000+ALERT,11/08/2018
ADDIE'S,"12435 PARK POTOMAC AVE , POTOMAC, MD 20854",SALE TO MINOR,SETTLED; $1000+ALERT,01/22/2019
NEEDWOOD GOLF COURSE SNACK BAR,"6724 NEEDWOOD ROAD , DERWOOD, MD 20855",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/25/2017
TED'S BULLETIN,"220 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/22/2016
BECLAWS,"2404 UNIVERSITY BOULEVARD , SILVER SPRING, MD 20902",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,10/18/2018
"CANCUN GRILL RESTAURANT, THE","11220 GEORGIA AVENUE , WHEATON, MD 20902",SALE/SERVICE TO INTOXICATED PATRON,SETTLED; $1000+ALERT,12/07/2018
MODERN MARKET ROCKVILLE,"1627 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/09/2017
RESTAURANT POLLOS EL MESON,"615 SOUTH FREDERICK AVENUE , GAITHERSBURG, MD 20877",FAILURE TO PURCHASE FROM APPROVED SOURCE,SETTLED; $1800.00 + ALERT,10/18/2016
EL AGUILA RESTAURANT,"8649 16TH STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,11/28/2017
SAKURA JAPAN STEAK & SEAFOOD,"11502 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED; $400 + ALERT,09/12/2017
PANDORA SEAFOOD HOUSE,"36 A MARYLAND AVENUE , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,06/01/2018
MOGOTILLO RESTAURANT,"7637 NEW HAMPSHIRE AVENUE , TAKOMA PARK, MD 20912",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,HEARING; $500 FINE,02/19/2016
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,06/01/2017
ARMANDS CHICAGO PIZZERIA,"1909 SEMINARY ROAD , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500+ALERT,02/27/2018
NEW YORK J & P PIZZA,"26027 RIDGE ROAD , DAMASCUS, MD 20872",SALE TO MINOR,SETTLED;$1000.00+ALERT,09/06/2018
CHAPEL BEER & WINE,"19727 FREDERICK RD , GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000+ALERT,08/17/2018
LUCKY STRIKE,"7101 DEMOCRACY BLVD #1022, BETHESDA, MD 20817",SALE TO MINOR,SETTLED; $1000 + ALERT,10/02/2017
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,06/05/2017
RUBY TUESDAY,"701 RUSSELL AVE. , GAITHERSBURG, MD 20877-2612",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,07/06/2016
CAMBRIA HOTEL & SUITES,"1 RENAISSANCE STREET , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,01/17/2017
HILLANDALE BEER & WINE,"10117 NEW HAMPSHIRE AVE. , SILVER SPRING, MD 20903",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/11/2016
THE OFFICE CAFE & LOUNGE,"6860 OLNEY-LAYTONSVILLE ROAD , LAYTONSVILLE, MD 20882",SALE TO MINOR,SETTLED; $2500 + ALERT,04/30/2018
SUPER BOWL NOODLE HOUSE,"785 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/15/2017
THE GREENE TURTLE,"19961 CENTURY BOULEVARD , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED; $1000.00 + ALERT,12/02/2016
CALIENTE RESTAURANT & BAR,"2442 ENALLS AVENUE , WHEATON, MD 20902",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/25/2017
SAMOVAR,"201 N. WASHINGTON ST. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,01/15/2019
TASTEE DINER,"8601 CAMERON STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500 + ALERT,11/29/2017
LOTUS CAFE,"8077 GEORGIA AVE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500 + ALERT,02/14/2018
